# value-aliases.tsv -- canonical<TAB>alias<TAB>disposition{derive|delete|keep-distinct}[ # comment]
# Enforced by automation/98-drift-checks.sh::check_value_aliases (WS-DEDUP AGY-858):
#   * derive / delete : the two keys MUST resolve to the SAME value (a divergence is a
#                       silent SSOT bug the de-dup campaign must fix, not hide).
#   * keep-distinct   : the two keys MUST resolve DIFFERENTLY (a "false-friend" alias-shaped
#                       pair that a naive name-based collapse would corrupt -- pinned here so
#                       the AGY-856..930 collapse can never silently merge them).
# Seeded from reference/audit-value-dup-report.md (measured). Grows via mios-dup-report (AGY-856).
# A pair whose keys are not both emitted is skipped (informational), so the gate never
# false-fails on a platform that does not surface a key.
MIOS_PGVECTOR_USER	MIOS_PG_USER	keep-distinct	# mios-pgvector service acct != mios postgres role (report 4.1)
MIOS_COLORS_ACCENT	MIOS_COLOR_ACCENT	derive	# family 9 singular/plural color
MIOS_COLORS_INFO	MIOS_COLOR_INFO	derive	# family 9
MIOS_COLORS_ANSI_4_BLUE	MIOS_ANSI_4_BLUE	derive	# family 8 ANSI theme projection
MIOS_POWERSHELL_EXE	MIOS_PATHS_POWERSHELL_EXE	derive	# family 7 path SSOT under bare + PATHS_ prefix
MIOS_COLORS_ANSI_0_BLACK	MIOS_ANSI_0_BLACK	derive	# family 8 ansi
MIOS_COLORS_ANSI_10_BRIGHT_GREEN	MIOS_ANSI_10_BRIGHT_GREEN	derive	# family 8 ansi
MIOS_COLORS_ANSI_11_BRIGHT_YELLOW	MIOS_ANSI_11_BRIGHT_YELLOW	derive	# family 8 ansi
MIOS_COLORS_ANSI_12_BRIGHT_BLUE	MIOS_ANSI_12_BRIGHT_BLUE	derive	# family 8 ansi
MIOS_COLORS_ANSI_13_BRIGHT_MAGENTA	MIOS_ANSI_13_BRIGHT_MAGENTA	derive	# family 8 ansi
MIOS_COLORS_ANSI_14_BRIGHT_CYAN	MIOS_ANSI_14_BRIGHT_CYAN	derive	# family 8 ansi
MIOS_COLORS_ANSI_15_BRIGHT_WHITE	MIOS_ANSI_15_BRIGHT_WHITE	derive	# family 8 ansi
MIOS_COLORS_ANSI_1_RED	MIOS_ANSI_1_RED	derive	# family 8 ansi
MIOS_COLORS_ANSI_2_GREEN	MIOS_ANSI_2_GREEN	derive	# family 8 ansi
MIOS_COLORS_ANSI_3_YELLOW	MIOS_ANSI_3_YELLOW	derive	# family 8 ansi
MIOS_COLORS_ANSI_5_MAGENTA	MIOS_ANSI_5_MAGENTA	derive	# family 8 ansi
MIOS_COLORS_ANSI_6_CYAN	MIOS_ANSI_6_CYAN	derive	# family 8 ansi
MIOS_COLORS_ANSI_7_WHITE	MIOS_ANSI_7_WHITE	derive	# family 8 ansi
MIOS_COLORS_ANSI_8_BRIGHT_BLACK	MIOS_ANSI_8_BRIGHT_BLACK	derive	# family 8 ansi
MIOS_COLORS_ANSI_9_BRIGHT_RED	MIOS_ANSI_9_BRIGHT_RED	derive	# family 8 ansi
MIOS_COLORS_BG	MIOS_COLOR_BG	derive	# family 9 color
MIOS_COLORS_CURSOR	MIOS_COLOR_CURSOR	derive	# family 9 color
MIOS_COLORS_EARTH	MIOS_COLOR_EARTH	derive	# family 9 color
MIOS_COLORS_ERROR	MIOS_COLOR_ERROR	derive	# family 9 color
MIOS_COLORS_FG	MIOS_COLOR_FG	derive	# family 9 color
MIOS_COLORS_MUTED	MIOS_COLOR_MUTED	derive	# family 9 color
MIOS_COLORS_SILVER	MIOS_COLOR_SILVER	derive	# family 9 color
MIOS_COLORS_SUBTLE	MIOS_COLOR_SUBTLE	derive	# family 9 color
MIOS_COLORS_SUCCESS	MIOS_COLOR_SUCCESS	derive	# family 9 color
MIOS_COLORS_WARNING	MIOS_COLOR_WARNING	derive	# family 9 color
MIOS_PATHS_AI_DIR	MIOS_AI_DIR	derive	# family 7 path
MIOS_PATHS_AI_JOURNAL	MIOS_AI_JOURNAL	derive	# family 7 path
