# var-closure-baseline.tsv -- ratcheted exemption ledger for
# automation/98-drift-checks.sh::check_var_closure (Law 9 ONE-CANONICAL-NAME, T-1052).
#
# WHAT THE GATE ASSERTS
#   Referenced is a subset of emitted: every MIOS_* a consumer reads is a name
#   the SSOT resolver emits.  The tree still violates that, so the gate RATCHETS
#   rather than blocking: every referenced-but-unemitted name that exists now is
#   recorded below with a sample location, and the count is pinned by the
#   ceiling.  (The count lives in #!ceiling, not in this prose, which went stale
#   at 425 while the ledger drained.)
#
#   EMITTED also covers a name supplied by a tracked .env projection named in
#   [laws.projection_registry].surfaces, because a consumer that sources one
#   gets the var without the resolver cascade.  That makes this gate depend on
#   check_ipa_enroll_projection, which is what proves such a file is a faithful
#   projection of its SSOT table rather than hand-written (T-1054).
#
#   VIOLATION if a name appears that is not recorded here -- a consumer would
#   read an unset variable;
#   VIOLATION if the count differs from the ceiling in either direction;
#   VIOLATION if the ledger, the resolver or python3 is missing or fails.
#
#   Why this ledger exists at all: until T-1052 the check scanned with an
#   INTERNAL_PATHS list that skipped usr/lib/mios, usr/libexec/mios, tools,
#   automation, config, docs, installation, usr/share/mios and var/lib/mios --
#   between them every tree a consumer lives in.  It reported
#   "emitted=2879 referenced=0 missing=0  PASS" on every run.  There was no
#   input that could make it fail.  Turning the scan on surfaced these at once;
#   pinning them is how the gate goes live without a 425-item rewrite first.
#
#   Do NOT add a row to silence a new name.  Either emit it from the SSOT
#   cascade or stop referencing it.
#
# COMPARISON IS BY NAME ONLY
#   The second column is a sample location and is informational -- line numbers
#   move.  The gate compares the NAME set and the count.
#
# CEILING
#   #!ceiling is the number of names and it is EXACT.  More is a regression.
#   FEWER is also a failure: fixing a name must be paid for by tightening this
#   number in the same commit, which is how a ledger drains instead of settling.
#
#!ceiling 413
#
# name	sample location
MIOS_ADMIT_ENABLE	usr/lib/mios/agent-pipe/server.py:607
MIOS_ADMIT_LOAD_CEIL	usr/lib/mios/agent-pipe/server.py:609
MIOS_ADMIT_MAX_WAIT	usr/lib/mios/agent-pipe/server.py:612
MIOS_ADMIT_MEM_PCT	usr/lib/mios/agent-pipe/server.py:611
MIOS_AGENT_CONCURRENCY	usr/lib/mios/agent-pipe/server.py:478
MIOS_AGENT_ENDPOINT_CONCURRENCY	usr/lib/mios/agent-pipe/server.py:604
MIOS_AGENT_HEALTHGATE_CONNECT_S	usr/lib/mios/agent-pipe/server.py:375
MIOS_AGENT_HEALTHGATE_READ_S	usr/lib/mios/agent-pipe/server.py:376
MIOS_AGENT_LANE_CONCURRENCY	usr/lib/mios/agent-pipe/mios_pipe/vram_scheduler.py:83
MIOS_AGENT_LOCAL_KEY	etc/profile.d/mios-agent.sh:45
MIOS_AGENT_MEMORY_RECALL	usr/lib/mios/agent-pipe/server.py:2237
MIOS_AGENT_MEMORY_RECALL_K	usr/lib/mios/agent-pipe/server.py:2239
MIOS_AGENT_MEMORY_RECALL_MIN_SCORE	usr/lib/mios/agent-pipe/server.py:2241
MIOS_AGENT_MEMORY_TABLE	usr/lib/mios/agent-pipe/server.py:2238
MIOS_AGENT_USER	tools/generate-egress-firewall.py:23
MIOS_AGNTCY_AGENT_ID	usr/lib/mios/agent-pipe/mios_pipe/federation/a2a.py:410
MIOS_AGNTCY_LICENSE	usr/lib/mios/agent-pipe/mios_pipe/federation/a2a.py:417
MIOS_AGREEMENT_ACK	Get-MiOS.ps1:611
MIOS_AGREEMENT_BANNER	build-mios.ps1:181
MIOS_AIPLANE_LINT_BIN	automation/98-drift-checks.sh:789
MIOS_ANSWER_CHUNK_CHARS	usr/lib/mios/agent-pipe/mios_pipe/routing/sse.py:158
MIOS_API_REQUIRE_AUTH	usr/lib/mios/agent-pipe/server.py:692
MIOS_APP_CONTEXT	Get-MiOS.ps1:2632
MIOS_APP_EMBED_PERSIST	usr/lib/mios/agent-pipe/mios_pipe/routing/toolsearch.py:233
MIOS_APP_INV_CACHE	usr/lib/mios/agent-pipe/mios_pipe/routing/toolsearch.py:229
MIOS_ASK_CLARIFY	usr/lib/mios/agent-pipe/server.py:2483
MIOS_ASK_CLARIFY_JUDGE	usr/lib/mios/agent-pipe/server.py:2486
MIOS_ASK_TO_RUN	usr/lib/mios/agent-pipe/server.py:2475
MIOS_ASK_TO_RUN_TTL	usr/lib/mios/agent-pipe/server.py:2478
MIOS_AUTOINSTALL	mios-pipeline.ps1:280
MIOS_AUTONOMOUS_PRIORITY	usr/lib/mios/agent-pipe/mios_pipe/scheduler/sched.py:177
MIOS_AUTO_FORCE_TOOL	usr/lib/mios/agent-pipe/server.py:476
MIOS_BAKE_BOUND_IMAGES	automation/99-postcheck.sh:568
MIOS_BASE_DIR	config/bootstrap/bootstrap.sh:7
MIOS_BATCH_ENABLE	usr/lib/mios/agent-pipe/server.py:1249
MIOS_BATCH_INTERVAL_S	usr/lib/mios/agent-pipe/server.py:1252
MIOS_BATCH_MAX_SIZE	usr/lib/mios/agent-pipe/server.py:1253
MIOS_BATCH_NATIVE_HINTS	usr/lib/mios/agent-pipe/server.py:1255
MIOS_BIND_HOST	usr/lib/mios/agent-pipe/server.py:4455
MIOS_BM25_B	usr/lib/mios/agent-pipe/server.py:3490
MIOS_BM25_K1	usr/lib/mios/agent-pipe/server.py:3488
MIOS_BOOTC_ALLOW_REMOTE	usr/libexec/mios/bootc-switch-from-build.sh:29
MIOS_BROKER_TIMEOUT_S	usr/lib/mios/agent-pipe/mios_dispatch.py:728
MIOS_BUILDER_MACHINE	build-mios.ps1:3684
MIOS_BUILDS_DIR	config/bootstrap/bootstrap.sh:23
MIOS_CACHE_BUSTED	Get-MiOS.ps1:312
MIOS_CACHE_DIR	usr/libexec/mios/user-setup.sh:17
MIOS_CALLER_KEYS_PATH	usr/lib/mios/agent-pipe/server.py:696
MIOS_CATALOG_FAIL_MODE	usr/lib/mios/agent-pipe/server.py:344
MIOS_CAT_SH	installation/mios-install.sh:96
MIOS_CHECK_ID	usr/lib/mios/log.sh:26
MIOS_CHECK_INDEX	usr/lib/mios/log.sh:29
MIOS_CHILD_TOOL_FLOOR	usr/lib/mios/agent-pipe/server.py:1694
MIOS_CHILD_TOOL_SELECT	usr/lib/mios/agent-pipe/server.py:1692
MIOS_CODE_SERVER_GID	automation/34-render-quadlets.sh:17
MIOS_CODE_SERVER_UID	automation/34-render-quadlets.sh:17
MIOS_COMMENT_LEX_BIN	usr/lib/mios/mios_comments.py:625
MIOS_CONDUCTOR_STEP_TIMEOUT	usr/lib/mios/agent-pipe/mios_pipe/routing/conductor.py:34
MIOS_CONFIGURATOR_HTML	usr/lib/mios/agent-pipe/mios_pipe/routing/portal.py:1274
MIOS_CPU_LANE_HINTS	usr/lib/mios/agent-pipe/server.py:1164
MIOS_CPU_LANE_MICRO_MODEL	usr/lib/mios/agent-pipe/server.py:1167
MIOS_CRAWL_BIND	usr/lib/mios/crawl4ai/mios-crawl4ai-service.py:39
MIOS_CRAWL_CDP_TIMEOUT	usr/lib/mios/crawl4ai/mios-crawl4ai-service.py:138
MIOS_CRL_PATH	usr/lib/mios/agent-pipe/mios_pipe/federation/a2a.py:578
MIOS_CTX_DIR	usr/libexec/mios/materialize-build-catalog.py:10
MIOS_CTX_FIT	usr/lib/mios/agent-pipe/server.py:1693
MIOS_CUA_ENABLE	usr/lib/mios/agent-pipe/server.py:3805
MIOS_CUA_MAX_STEPS	usr/lib/mios/agent-pipe/server.py:3808
MIOS_DAG_EMPTY_NATIVE_FALLBACK	usr/lib/mios/agent-pipe/server.py:592
MIOS_DAG_NODE_DEADLINE_S	usr/lib/mios/agent-pipe/server.py:432
MIOS_DAG_NODE_DEADLINE_SLOW_S	usr/lib/mios/agent-pipe/server.py:434
MIOS_DAG_NODE_MAX_TOKENS	usr/lib/mios/agent-pipe/server.py:428
MIOS_DAG_NODE_RETRY	usr/lib/mios/agent-pipe/server.py:431
MIOS_DAG_NODE_SLOW_MAX_TOKENS	usr/lib/mios/agent-pipe/server.py:430
MIOS_DAG_REPLAN_MAX	usr/lib/mios/agent-pipe/server.py:1436
MIOS_DATA_DIR	usr/libexec/mios/user-setup.sh:17
MIOS_DATA_MP	installation/stage-mios-repo.sh:55
MIOS_DB_AUTHORITATIVE	usr/lib/mios/mios_db_config.py:52
MIOS_DB_DB	usr/share/mios/owui/pipes/mios_agent_pipe.py:107
MIOS_DB_NS	usr/share/mios/owui/pipes/mios_agent_pipe.py:106
MIOS_DB_PASS	automation/34-render-quadlets.sh:50
MIOS_DB_RLS_ENABLE	usr/lib/mios/mios_toml.py:452
MIOS_DB_URL	usr/share/mios/owui/pipes/mios_agent_pipe.py:103
MIOS_DB_USER	automation/34-render-quadlets.sh:50
MIOS_DEBUG_ENABLE	usr/lib/mios/agent-pipe/server.py:263
MIOS_DEDUP_REFINE_STATUS	usr/lib/mios/agent-pipe/mios_pipe/routing/chat.py:1453
MIOS_DEEPEN_LANES	usr/lib/mios/agent-pipe/server.py:401
MIOS_DEFAULT_TOOL_CAP	usr/lib/mios/agent-pipe/server.py:425
MIOS_DELTA_BUNDLE_URL	usr/libexec/mios/mios-oci-delta-service.sh:21
MIOS_DEV_ENABLE_AI	build-mios.ps1:2644
MIOS_DEV_ENABLE_RUNNER	build-mios.ps1:2645
MIOS_DIRS	Uninstall-MiOS.ps1:191
MIOS_EFFORT	usr/lib/mios/agent-pipe/server.py:590
MIOS_EGRESS_OUT	tools/generate-egress-firewall.py:17
MIOS_EMBED_COOLDOWN_SECS	usr/lib/mios/agent-pipe/mios_pipe/routing/toolsearch.py:28
MIOS_EMBED_FAIL_LOG_INTERVAL	usr/lib/mios/agent-pipe/server.py:3337
MIOS_FIRECRAWL_IMAGE	automation/34-render-quadlets.sh:50
MIOS_FIXTURE_DEAD	automation/tests/test-97-ssot-lint.sh:56
MIOS_FIXTURE_OK	automation/tests/test-97-ssot-lint.sh:46
MIOS_FLATPAKS_INPUT	automation/build-mios.sh:104
MIOS_FORCE_COLOR	installation/mios-common.sh:43
MIOS_FORCE_LEGACY_MIGRATE	build-mios.ps1:386
MIOS_FORCE_LEGACY_PACKAGES_MD	build-mios.ps1:2389
MIOS_FORCE_VHDX_MIGRATE	build-mios.ps1:2353
MIOS_FORGE_ADMIN_EMAIL	usr/libexec/mios/forge-firstboot.sh:32
MIOS_FORGE_ADMIN_PASSWORD	automation/99-postcheck.sh:530
MIOS_FORGE_ADMIN_USER	usr/share/mios/agents/mios-forge-mirror.sh:14
MIOS_FORGE_FORCE_FIRSTBOOT	usr/libexec/mios/forge-firstboot.sh:88
MIOS_FORGE_INITIAL_REPO	usr/libexec/mios/forge-firstboot.sh:93
MIOS_GATE_BIN	automation/98-drift-checks.sh:3009
MIOS_GETMIOS_FUNCTIONS_ONLY	build-mios.ps1:6110
MIOS_GETMIOS_RELAUNCHED	Get-MiOS.ps1:312
MIOS_GHCR_PUSH_TOKEN	config/bootstrap/bootstrap.sh:85
MIOS_GHCR_USER	config/bootstrap/bootstrap.sh:79
